Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
pncB,,Nicotinate phosphoribosyltransferase,753,753,1,983,28622,,,,1202,1250,1213
ssuC_2,,Putative aliphatic sulfonates transport permease protein SsuC,753,753,1,983,28619,,,,551,791,790
elfD,,putative fimbrial chaperone protein ElfD,753,753,1,983,28614,,,,599,701,700
ycbV,,putative fimbrial-like protein YcbV,753,753,1,983,28609,,,,221,563,562
ycbX,,putative protein YcbX,753,753,1,983,28605,,,,731,1109,1108
pqiA,,Intermembrane transport protein PqiA,753,753,1,983,28601,,,,1073,1253,1252
yccU,,putative protein YccU,753,753,1,983,28584,,,,263,413,412
hspQ,,Heat shock protein HspQ,753,753,1,983,28583,,,,257,317,316
rlmI,,Ribosomal RNA large subunit methyltransferase I,753,753,1,983,28582,,,,944,1175,1174
puuD,,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD,753,753,1,983,26083,,,,518,764,762
pspD,,Phage shock protein D,753,753,1,983,26298,,,,221,221,221
purR_2,,HTH-type transcriptional repressor PurR,753,753,1,983,26317,,,,620,998,996
ogt,,Methylated-DNA--protein-cysteine methyltransferase,753,753,1,983,26337,,,,200,515,514
ttcA,,tRNA-cytidine(32) 2-sulfurtransferase,753,753,1,983,26541,,,,860,935,934
ynbD,,putative protein YnbD,753,753,1,983,26477,,,,824,1316,1315
group_16122,,putative protein,753,753,1,983,26465,,,,1115,1343,1342
amtB,,Ammonia channel,753,753,1,983,20703,,,,356,1286,1284
ylaC,,Inner membrane protein YlaC,753,753,1,983,20711,,,,374,470,469
priC,,Primosomal replication protein N'',753,753,1,983,20722,,,,155,527,526
hemH,,Ferrochelatase,753,753,1,983,20733,,,,755,962,961
fsr,,Fosmidomycin resistance protein,753,753,1,983,20737,,,,713,1220,1219
qmcA,,Protein QmcA,753,753,1,983,20749,,,,206,917,916
group_16131,,hypothetical protein,753,753,1,983,20753,,,,770,809,770
tesA,,Thioesterase 1/protease 1/lysophospholipase L1,753,753,1,983,20754,,,,593,656,593
cysS,,Cysteine--tRNA ligase,753,753,1,983,30788,,,,752,1385,1384
folD,,Bifunctional protein FolD protein,753,753,1,983,30784,,,,380,866,865
tisB,,Small toxic protein TisB,753,753,1,983,4863,,,,89,89,89
yidG,,Inner membrane protein YidG,753,753,1,983,4856,,,,281,362,361
mngR_1,,Mannosyl-D-glycerate transport/metabolism system repressor MngR,753,753,1,983,4846,,,,695,716,715
lutR,,HTH-type transcriptional regulator LutR,753,753,1,983,4831,,,,398,689,688
yidA,,Sugar phosphatase YidA,753,753,1,983,4828,,,,380,812,811
gyrB,,DNA gyrase subunit B,753,753,1,983,4826,,,,1148,2414,2410
recF,,DNA replication and repair protein RecF,753,753,1,983,4825,,,,734,1073,1072
chrR,,Quinone reductase,753,753,1,983,4813,,,,467,566,565
bglG,,Cryptic beta-glucoside bgl operon antiterminator,753,753,1,983,4802,,,,767,836,835
rbsB,,Ribose import binding protein RbsB,753,753,1,983,4753,,,,668,890,889
group_16152,,hypothetical protein,753,753,1,983,14572,,,,356,395,394
caiB,,L-carnitine CoA-transferase,753,753,1,983,14576,,,,1124,1217,1216
rsmA,,Ribosomal RNA small subunit methyltransferase A,753,753,1,983,14681,,,,671,821,820
pdxA,,4-hydroxythreonine-4-phosphate dehydrogenase,753,753,1,983,14680,,,,737,989,988
surA,,Chaperone SurA,753,753,1,983,14679,,,,596,1286,1285
rapA,,RNA polymerase-associated protein RapA,753,753,1,983,14674,,,,2372,2906,2905
araD,,L-ribulose-5-phosphate 4-epimerase AraD,753,753,1,983,14672,,,,695,695,695
sgrT,,Putative inhibitor of glucose uptake transporter SgrT,753,753,1,983,14662,,,,131,131,131
leuB,,3-isopropylmalate dehydrogenase,753,753,1,983,14657,,,,800,1091,1090
murF,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,753,753,1,983,14643,,,,1055,1358,1357
murG,,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,753,753,1,983,14639,,,,1043,1067,1066
murC,,UDP-N-acetylmuramate--L-alanine ligase,753,753,1,983,14638,,,,437,1475,1473
group_16172,,hypothetical protein,753,753,1,983,14603,,,,308,347,308
nlpI,,Lipoprotein NlpI,753,753,1,983,4344,,,,785,884,883
rimP,,Ribosome maturation factor RimP,753,753,1,983,4336,,,,422,452,451
ftsH,,ATP-dependent zinc metalloprotease FtsH,753,753,1,983,4329,,,,983,1943,1941
dacB,,D-alanyl-D-alanine carboxypeptidase DacB,753,753,1,983,4324,,,,1433,1472,1433
yhbE,,putative inner membrane transporter YhbE,753,753,1,983,4322,,,,890,965,964
ptsO,,Phosphocarrier protein NPr,753,753,1,983,4300,,,,230,272,271
elbB,,Glyoxalase ElbB,753,753,1,983,4297,,,,386,653,652
gltB,,Glutamate synthase [NADPH] large chain,753,753,1,983,4291,,,,389,4553,4547
gltD,,Glutamate synthase [NADPH] small chain,753,753,1,983,4290,,,,521,1418,1416
nanT,,Sialic acid transporter NanT,753,753,1,983,4284,,,,1229,1490,1489
nanA,,N-acetylneuraminate lyase,753,753,1,983,4283,,,,869,893,892
bhsA_1,,Multiple stress resistance protein BhsA,753,753,1,983,4269,,,,101,263,262
acuI,,putative acrylyl-CoA reductase AcuI,753,753,1,983,4254,,,,521,974,973
dusB,,tRNA-dihydrouridine synthase B,753,753,1,983,4247,,,,860,965,954
group_16188,,hypothetical protein,753,753,1,983,4239,,,,221,281,221
yejM,,Inner membrane protein YejM,753,753,1,983,16883,,,,1205,1760,1758
eco,,Ecotin,753,753,1,983,19641,,,,371,488,487
yojI,,ABC transporter ATP-binding/permease protein YojI,753,753,1,983,19638,,,,1301,1643,1642
nrdA,,Ribonucleoside-diphosphate reductase 1 subunit alpha,753,753,1,983,19603,,,,920,2285,2283
nrdB,,Ribonucleoside-diphosphate reductase 1 subunit beta,753,753,1,983,19601,,,,242,1130,1128
glpT,,Glycerol-3-phosphate transporter,753,753,1,983,19595,,,,1313,1358,1357
group_16198,,ISNCY family transposase ISSen7,753,753,1,983,19591,,,,899,902,901
group_16199,,hypothetical protein,753,753,1,983,19585,,,,482,542,541
nudI,,Nucleoside triphosphatase NudI,753,753,1,983,19584,,,,425,434,425
arnA,,Bifunctional polymyxin resistance protein ArnA,753,753,1,983,19580,,,,1847,1982,1981
pmrD,,Signal transduction protein PmrD,753,753,1,983,19575,,,,266,266,266
yfbM,,Protein YfbM,753,753,1,983,19559,,,,425,503,501
nuoH,,NADH-quinone oxidoreductase subunit H,753,753,1,983,19551,,,,656,977,976
nuoG,,NADH-quinone oxidoreductase subunit G,753,753,1,983,19550,,,,224,2726,2722
ybhR,,putative multidrug ABC transporter permease YbhR,753,753,1,983,29434,,,,251,1106,1104
ybhQ,,Inner membrane protein YbhQ,753,753,1,983,29435,,,,410,437,410
group_16211,,hypothetical protein,753,753,1,983,29436,,,,743,761,760
clsB,,Cardiolipin synthase B,753,753,1,983,29437,,,,1214,1241,1240
bioC,,Malonyl-[acyl-carrier protein] O-methyltransferase,753,753,1,983,29453,,,,350,755,754
modF,,ABC transporter ATP-binding protein ModF,753,753,1,983,30050,,,,1124,1472,1471
cpoB,,Cell division coordinator CpoB,753,753,1,983,30061,,,,305,791,790
tolQ,,Tol-Pal system protein TolQ,753,753,1,983,30066,,,,245,692,691
cydA,,Cytochrome bd-I ubiquinol oxidase subunit 1,753,753,1,983,30072,,,,1328,1568,1567
sucA,,2-oxoglutarate dehydrogenase E1 component,753,753,1,983,30079,,,,497,2801,2797
sdhC,,Succinate dehydrogenase cytochrome b556 subunit,753,753,1,983,30084,,,,389,404,403
group_16227,,hypothetical protein,753,753,1,983,30110,,,,509,683,510
ytfJ_1,,putative protein YtfJ,753,753,1,983,5847,,,,554,557,556
group_16229,,hypothetical protein,753,753,1,983,5849,,,,866,1343,1342
tamA,,Translocation and assembly module subunit TamA,753,753,1,983,5854,,,,182,1733,1730
treC,,Trehalose-6-phosphate hydrolase,753,753,1,983,5877,,,,1655,1655,1655
tabA,,Toxin-antitoxin biofilm protein TabA,753,753,1,983,5894,,,,452,452,452
valS,,Valine--tRNA ligase,753,753,1,983,5913,,,,2051,2855,2853
creD,,Inner membrane protein CreD,753,753,1,983,6411,,,,1298,1352,1351
trpR,,Trp operon repressor,753,753,1,983,6418,,,,296,296,296
slt,,Soluble lytic murein transglycosylase,753,753,1,983,6419,,,,1016,1937,1935
deoB_2,,Phosphopentomutase,753,753,1,983,6440,,,,743,1223,1222
osmY_1,,Osmotically-inducible protein Y,753,753,1,983,6449,,,,221,605,604
dnaC,,DNA replication protein DnaC,753,753,1,983,6489,,,,323,737,736
btsT,,Pyruvate/proton symporter BtsT,753,753,1,983,6518,,,,1493,2150,2149
fkpA,,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA,753,753,1,983,31970,,,,392,812,811
group_16268,,hypothetical protein,753,753,1,983,31977,,,,704,1022,1021
cfxP,,"Phosphoribulokinase, plasmid",753,753,1,983,31979,,,,866,917,869
group_16270,,hypothetical protein,753,753,1,983,31982,,,,1547,2090,2088
aroK,,Shikimate kinase 1,753,753,1,983,32019,,,,521,677,524
yrfF,,Putative membrane protein IgaA ,753,753,1,983,32029,,,,2066,2135,2128
torA,,Trimethylamine-N-oxide reductase 1,753,753,1,983,28529,,,,2333,2546,2545
torD,,Chaperone protein TorD,753,753,1,983,28528,,,,599,599,599
cbpA,,Curved DNA-binding protein,753,753,1,983,28526,,,,551,920,919
rutF,,FMN reductase (NADH) RutF,753,753,1,983,28519,,,,224,494,491
rutE,,putative malonic semialdehyde reductase RutE,753,753,1,983,28518,,,,590,590,590
rutC,,Putative aminoacrylate peracid reductase RutC,753,753,1,983,28516,,,,290,386,385
efeO,,Iron uptake system component EfeO,753,753,1,983,28506,,,,827,1127,1126
mhpB,,"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase",753,753,1,983,20575,,,,554,944,943
mhpD,,2-keto-4-pentenoate hydratase,753,753,1,983,20577,,,,167,809,808
group_16299,,hypothetical protein,753,753,1,983,20615,,,,1094,1130,1094
yaiY,,Inner membrane protein YaiY,753,753,1,983,20616,,,,299,308,307
ycfS,,"putative L,D-transpeptidase YcfS",753,753,1,983,25680,,,,821,959,958
lpoB,,Penicillin-binding protein activator LpoB,753,753,1,983,25672,,,,392,641,640
plsX,,Phosphate acyltransferase,753,753,1,983,25656,,,,1040,1070,1040
yceF,,7-methyl-GTP pyrophosphatase,753,753,1,983,25653,,,,584,623,622
flgK,,Flagellar hook-associated protein 1,753,753,1,983,25648,,,,1352,1643,1642
flgH,,Flagellar L-ring protein,753,753,1,983,25645,,,,680,698,697
flgA,,Flagella basal body P-ring formation protein FlgA,753,753,1,983,25634,,,,470,659,658
murJ,,Lipid II flippase MurJ,753,753,1,983,25631,,,,743,1535,1533
yceB,,putative lipoprotein YceB,753,753,1,983,25622,,,,548,560,559
solA,,N-methyl-L-tryptophan oxidase,753,753,1,983,25618,,,,1088,1118,1117
group_16311,,hypothetical protein,753,753,1,983,25610,,,,260,374,373
ghrA,,Glyoxylate/hydroxypyruvate reductase A,753,753,1,983,25592,,,,788,938,937
rep,,ATP-dependent DNA helicase Rep,753,753,1,983,7425,,,,953,2021,2019
wecC,,UDP-N-acetyl-D-mannosamine dehydrogenase,753,753,1,983,7434,,,,1262,1301,1262
cyaA,,Adenylate cyclase,753,753,1,983,7451,,,,668,2546,2543
group_16316,,hypothetical protein,753,753,1,983,7453,,,,1313,1355,1353
dapF,,Diaminopimelate epimerase,753,753,1,983,7457,,,,824,848,824
ubiD,,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,753,753,1,983,7486,,,,494,1493,1491
yigZ,,IMPACT family member YigZ,753,753,1,983,7477,,,,368,614,613
trkH,,Trk system potassium uptake protein TrkH,753,753,1,983,7476,,,,509,1451,1449
ulaC,,Ascorbate-specific PTS system EIIA component,753,753,1,983,5798,,,,464,464,464
gdx,,Guanidinium exporter,753,753,1,983,5741,,,,278,317,316
group_16324,,hypothetical protein,753,753,1,983,5739,,,,125,125,125
yjeH,,L-methionine/branched-chain amino acid exporter YjeH,753,753,1,983,5731,,,,1181,1256,1255
group_16326,,hypothetical protein,753,753,1,983,5730,,,,467,476,475
dsbD,,Thiol:disulfide interchange protein DsbD,753,753,1,983,5726,,,,1697,1733,1697
qorA,,Quinone oxidoreductase 1,753,753,1,983,3028,,,,929,983,982
dnaB,,Replicative DNA helicase,753,753,1,983,3030,,,,1250,1415,1414
group_16336,,hypothetical protein,753,753,1,983,3036,,,,323,416,415
ccmH_2,,Cytochrome c-type biogenesis protein CcmH,753,753,1,983,3076,,,,197,383,382
fdhF_2,,Formate dehydrogenase H,753,753,1,983,3083,,,,947,1679,1677
citX,,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,753,753,1,983,30700,,,,395,551,550
cspE,,Cold shock-like protein CspE,753,753,1,983,30688,,,,209,293,209
dacA,,D-alanyl-D-alanine carboxypeptidase DacA,753,753,1,983,30678,,,,1211,1283,1211
cobC,,Adenosylcobalamin/alpha-ribazole phosphatase,753,753,1,983,30672,,,,611,611,611
ybeZ,,PhoH-like protein,753,753,1,983,30643,,,,1040,1079,1078
ubiF,,3-demethoxyubiquinol 3-hydroxylase,753,753,1,983,30641,,,,320,1175,1173
fur,,Ferric uptake regulation protein,753,753,1,983,30628,,,,311,446,445
pgm,,Phosphoglucomutase,753,753,1,983,30622,,,,242,1640,1638
yejF,,putative ABC transporter ATP-binding protein YejF,753,753,1,983,16867,,,,1286,1589,1588
pdeN,,putative cyclic di-GMP phosphodiesterase PdeN,753,753,1,983,16860,,,,1493,1556,1555
group_16355,,hypothetical protein,753,753,1,983,16852,,,,254,254,254
fruB,,Multiphosphoryl transfer protein,753,753,1,983,16850,,,,320,1130,1128
yohC,,Inner membrane protein YohC,753,753,1,983,16807,,,,587,617,587
group_16358,,hypothetical protein,753,753,1,983,16786,,,,470,470,470
uxaC,,Uronate isomerase,753,753,1,983,4444,,,,752,1412,1411
ygjV,,Inner membrane protein YgjV,753,753,1,983,4446,,,,368,551,550
yqjH,,NADPH-dependent ferric-chelate reductase,753,753,1,983,4482,,,,389,764,763
glnE,,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme,753,753,1,983,4499,,,,2069,2840,2838
hldE,,Bifunctional protein HldE,753,753,1,983,4501,,,,638,1433,1431
group_16392,,hypothetical protein,753,753,1,983,32127,,,,344,587,586
group_16393,,hypothetical protein,753,753,1,983,32118,,,,257,359,358
livH,,High-affinity branched-chain amino acid transport system permease protein LivH,753,753,1,983,32106,,,,218,926,925
ugpQ,,"Glycerophosphodiester phosphodiesterase, cytoplasmic",753,753,1,983,32097,,,,242,743,742
yhhW,,"Quercetin 2,3-dioxygenase",753,753,1,983,32083,,,,632,695,694
glgB,,"1,4-alpha-glucan branching enzyme GlgB",753,753,1,983,32076,,,,2012,2186,2185
glgX,,Glycogen debranching enzyme,753,753,1,983,32075,,,,1583,1973,1972
group_16401,,hypothetical protein,753,753,1,983,19536,,,,857,1832,1830
pta,,Phosphate acetyltransferase,753,753,1,983,19529,,,,1262,2144,2142
group_16403,,hypothetical protein,753,753,1,983,19528,,,,1478,1520,1479
yfcG,,Disulfide-bond oxidoreductase YfcG,753,753,1,983,19524,,,,611,647,646
folC,,Dihydrofolate synthase/folylpolyglutamate synthase,753,753,1,983,19509,,,,392,1268,1266
epmC,,Elongation factor P hydroxylase,753,753,1,983,19490,,,,326,548,547
group_16407,,hypothetical protein,753,753,1,983,19472,,,,284,284,284
yiaD,,putative lipoprotein YiaD,753,753,1,983,30540,,,,536,659,658
tag,,DNA-3-methyladenine glycosylase 1,753,753,1,983,30535,,,,359,563,562
yhjX,,putative MFS-type transporter YhjX,753,753,1,983,30531,,,,725,1208,1193
yhjB,,Putative HTH-type transcriptional regulator YhjB,753,753,1,983,30478,,,,524,602,601
chaA,,Sodium-potassium/proton antiporter ChaA,753,753,1,983,25849,,,,1100,1187,1100
chaB,,Putative cation transport regulator ChaB,753,753,1,983,25850,,,,149,230,229
galU,,UTP--glucose-1-phosphate uridylyltransferase,753,753,1,983,25871,,,,533,908,907
group_16427,,hypothetical protein,753,753,1,983,25927,,,,290,329,328
group_16429,,putative acyl-CoA thioester hydrolase,753,753,1,983,25935,,,,344,398,397
trpB,,Tryptophan synthase beta chain,753,753,1,983,25963,,,,845,1193,1192
sohB,,putative protease SohB,753,753,1,983,25976,,,,959,1049,1048
dapD,,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",753,753,1,983,12451,,,,215,824,823
rnhB,,Ribonuclease HII,753,753,1,983,12433,,,,401,596,595
accA,,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,753,753,1,983,12431,,,,305,959,958
minC,,Septum site-determining protein MinC,753,753,1,983,25763,,,,419,695,694
ycgL,,Protein YcgL,753,753,1,983,25767,,,,293,305,293
ycgM,,putative protein YcgM,753,753,1,983,25768,,,,434,659,658
group_16447,,hypothetical protein,753,753,1,983,25771,,,,437,446,445
umuD,,Protein UmuD,753,753,1,983,25774,,,,239,419,418
umuC_1,,Protein UmuC,753,753,1,983,25775,,,,1118,1268,1265
dhaL,,"PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL",753,753,1,983,25822,,,,605,632,631
pth,,Peptidyl-tRNA hydrolase,753,753,1,983,25834,,,,584,689,584
hemA,,Glutamyl-tRNA reductase,753,753,1,983,25840,,,,1256,1325,1268
ychQ,,Protein YchQ,753,753,1,983,25843,,,,263,392,391
group_16459,,hypothetical protein,753,753,1,983,2990,,,,1058,1127,1126
yecM,,Protein YecM,753,753,1,983,9269,,,,362,566,565
group_16493,,hypothetical protein,753,753,1,983,9305,,,,251,317,251
frc,,Formyl-CoA:oxalate CoA-transferase,753,753,1,983,19392,,,,1178,1250,1249
alaC,,Glutamate-pyruvate aminotransferase AlaC,753,753,1,983,19386,,,,896,1238,1237
rcnR,,Transcriptional repressor RcnR,753,753,1,983,16752,,,,272,272,272
fepA,,Ferrienterobactin receptor,753,753,1,983,30737,,,,1604,2240,2239
entE,,Enterobactin synthase component E,753,753,1,983,30726,,,,1538,1610,1609
entB,,Enterobactin synthase component B,753,753,1,983,30725,,,,254,857,856
cstA,,Peptide transporter CstA,753,753,1,983,30722,,,,1775,2105,2104
hcxA,,Hydroxycarboxylate dehydrogenase A,753,753,1,983,30720,,,,638,1088,1081
ahpC,,Alkyl hydroperoxide reductase C,753,753,1,983,30711,,,,278,563,562
crl,,Sigma factor-binding protein Crl,753,753,1,983,20146,,,,272,401,400
fadE,,Acyl-coenzyme A dehydrogenase,753,753,1,983,20078,,,,1289,2444,2442
mdtE,,Multidrug resistance protein MdtE,753,753,1,983,31874,,,,1016,1157,1156
gadE,,Transcriptional regulator GadE,753,753,1,983,31876,,,,527,686,527
group_16533,,hypothetical protein,753,753,1,983,31891,,,,353,383,353
pitA_1,,Low-affinity inorganic phosphate transporter 1,753,753,1,983,31906,,,,539,1499,1497
group_16539,,hypothetical protein,753,753,1,983,26798,,,,347,347,347
group_16540,,hypothetical protein,753,753,1,983,26805,,,,440,503,502
group_16542,,hypothetical protein,753,753,1,983,26811,,,,1556,1934,1933
group_16544,,hypothetical protein,753,753,1,983,26819,,,,272,275,272
pncA,,Nicotinamidase,753,753,1,983,26826,,,,641,641,641
msrC,,Free methionine-R-sulfoxide reductase,753,753,1,983,9140,,,,353,551,550
kdgR,,Transcriptional regulator KdgR,753,753,1,983,9135,,,,725,791,790
rlmA,,23S rRNA (guanine(745)-N(1))-methyltransferase,753,753,1,983,9131,,,,545,809,806
mntP,,putative manganese efflux pump MntP,753,753,1,983,9130,,,,539,566,565
nudL,,putative Nudix hydrolase NudL,753,753,1,983,9118,,,,500,578,577
group_16554,,hypothetical protein,753,753,1,983,9116,,,,170,179,178
leuE,,Leucine efflux protein,753,753,1,983,9102,,,,416,638,637
yijD,,Inner membrane protein YijD,753,753,1,983,27352,,,,266,359,358
sthA,,Soluble pyridine nucleotide transhydrogenase,753,753,1,983,27354,,,,1334,1400,1399
katG,,Catalase-peroxidase,753,753,1,983,27381,,,,1427,2180,2179
yihT,,Sulfofructosephosphate aldolase,753,753,1,983,16492,,,,827,878,877
yihX,,Alpha-D-glucose 1-phosphate phosphatase YihX,753,753,1,983,16496,,,,323,599,598
group_16562,,hypothetical protein,753,753,1,983,16497,,,,173,872,871
fdoH,,Formate dehydrogenase-O iron-sulfur subunit,753,753,1,983,16514,,,,329,902,901
rhaM,,L-rhamnose mutarotase,753,753,1,983,16532,,,,191,314,313
xylB_2,,Xylulose kinase,753,753,1,983,30558,,,,1331,1454,1453
group_16570,,hypothetical protein,753,753,1,983,30566,,,,572,824,823
sbcC,,Nuclease SbcCD subunit C,753,753,1,983,20640,,,,632,3143,3139
sbcD,,Nuclease SbcCD subunit D,753,753,1,983,20641,,,,830,1202,1201
nrdR,,Transcriptional repressor NrdR,753,753,1,983,20658,,,,308,449,448
dxs,,1-deoxy-D-xylulose-5-phosphate synthase,753,753,1,983,20665,,,,443,1862,1860
thiI,,tRNA sulfurtransferase,753,753,1,983,20668,,,,1448,1544,1448
mltD,,Membrane-bound lytic murein transglycosylase D,753,753,1,983,30279,,,,764,1220,1219
ligB,,DNA ligase B,753,753,1,983,5254,,,,1361,1682,1680
spoT,,Bifunctional (p)ppGpp synthase/hydrolase SpoT,753,753,1,983,5260,,,,692,2108,2106
ftsP,,Cell division protein FtsP,753,753,1,983,4572,,,,1412,1496,1412
